name,age,link
Tom Loten,25,https://www.espncricinfo.com/cricketers/tom-loten-1146768
Ryana MacDonald-Gay,19,https://www.espncricinfo.com/cricketers/ryana-macdonald-gay-1187119
Alice Macleod,29,https://www.espncricinfo.com/cricketers/alice-macleod-424815
Ben Mike,25,https://www.espncricinfo.com/cricketers/ben-mike-1093092
Alice Monaghan,23,https://www.espncricinfo.com/cricketers/alice-monaghan-1030613
Dan Mousley,22,https://www.espncricinfo.com/cricketers/dan-mousley-1172968
Steven Mullaney,37,https://www.espncricinfo.com/cricketers/steven-mullaney-17986
Nat Sciver-Brunt,31,https://www.espncricinfo.com/cricketers/nat-sciver-brunt-515905
Marcus O'Riordan,25,https://www.espncricinfo.com/cricketers/marcus-o-riordan-769529
Craig Overton,29,https://www.espncricinfo.com/cricketers/craig-overton-464626
Jamie Overton,29,https://www.espncricinfo.com/cricketers/jamie-overton-510530
Ryan Patel,26,https://www.espncricinfo.com/cricketers/ryan-patel-1010307
Samit Patel,39,https://www.espncricinfo.com/cricketers/samit-patel-18632
Liam Patterson-White,25,https://www.espncricinfo.com/cricketers/liam-patterson-white-1023361
Charis Pavely,19,https://www.espncricinfo.com/cricketers/charis-pavely-1340525
Davina Perrin,17,https://www.espncricinfo.com/cricketers/davina-perrin-1277200
Oliver Price,22,https://www.espncricinfo.com/cricketers/oliver-price-1153276
Tom Price,24,https://www.espncricinfo.com/cricketers/tom-price-905969
Luke Procter,35,https://www.espncricinfo.com/cricketers/luke-procter-294062
Ben Raine,32,https://www.espncricinfo.com/cricketers/ben-raine-459761
Luis Reece,33,https://www.espncricinfo.com/cricketers/luis-reece-347661
Rehan Ahmed,19,https://www.espncricinfo.com/cricketers/rehan-ahmed-1263691
Nico Reifer,23,https://www.espncricinfo.com/cricketers/nico-reifer-1104893
Will Rhodes,28,https://www.espncricinfo.com/cricketers/will-rhodes-570421
Paige Scholfield,28,https://www.espncricinfo.com/cricketers/paige-scholfield-743647
Tom Scriven,25,https://www.espncricinfo.com/cricketers/tom-scriven-906053
Chloe Skelton,22,https://www.espncricinfo.com/cricketers/chloe-skelton-1146032
Sophia Smale,19,https://www.espncricinfo.com/cricketers/sophia-smale-1314806
Bryony Smith,26,https://www.espncricinfo.com/cricketers/bryony-smith-874277
Ben Stokes,32,https://www.espncricinfo.com/cricketers/ben-stokes-311158
Tom Taylor,29,https://www.espncricinfo.com/cricketers/tom-taylor-519544
George Thomas,20,https://www.espncricinfo.com/cricketers/george-thomas-1260859
Jordan Thompson,27,https://www.espncricinfo.com/cricketers/jordan-thompson-766809
Alex Thomson,30,https://www.espncricinfo.com/cricketers/alex-thomson-645319
Graeme van Buuren,33,https://www.espncricinfo.com/cricketers/graeme-van-buuren-381002
Mady Villiers,25,https://www.espncricinfo.com/cricketers/mady-villiers-874173
Matthew Waite,28,https://www.espncricinfo.com/cricketers/matthew-waite-765879
Paul Walter,29,https://www.espncricinfo.com/cricketers/paul-walter-909225
David Willey,33,https://www.espncricinfo.com/cricketers/david-willey-308251
Chris Woakes,34,https://www.espncricinfo.com/cricketers/chris-woakes-247235
Natasha Wraith,22,https://www.espncricinfo.com/cricketers/natasha-wraith-1032417
Saif Zaib,25,https://www.espncricinfo.com/cricketers/saif-zaib-663613
